年份,2016,2017,2018,2019,2020,2021,2022,2023
吨原煤生产综合能耗,4.37,4.21,3.95,3.16,3.09,3.47,3.29,3.38
单位油气产量综合能耗,65.63,54.83,51.91,45.79,49.28,46.18,44.14,40.97
铁矿选矿工序单位能耗,11.51,14.42,21.06,17.57,8.72,8.69,8.26,8.09
炼焦工序单位能耗,133.18,128.61,134.65,126.73,127.51,128.34,120.84,121.91
原油加工单位综合能耗,68.6,66.27,63.83,63.53,61.9,61.83,63.82,60.38
单位电石生产综合能耗,997.07,985.13,943.35,936.43,919.49,899.36,868.03,857.19
单位乙烯生产综合能耗 ,921.83,891.56,884.59,892.96,882.9,890.2,873.18,875.87
单位合成氨生产综合能耗,1438.53,1268.66,1205.99,1255.43,1241.46,1222.18,1230.95,1236.6
吨水泥综合能耗,94.45,95.22,96.21,95.52,93.7,95.65,94.27,89.76
吨钢综合能耗(,638.33,639.62,605.83,582.19,568.16,567.63,543.89,557.22
单位粗铜综合能耗,175.98,170.96,176.87,164.31,106.02,159.02,143.19,121.12
单位铜精炼综合能耗,164.95,173.45,168.83,185.54,111.13,94.43,95.88,85.74
单位电解铝综合能耗,1712.86,1702.65,1674.45,1665.92,1700.36,1691.75,1680.4,1660
蒸馏锌综合标准煤耗单耗,1884.57,1844.27,2030.05,2099.72,2042.62,2099.16,1992.06,2017.04
单位精锌(电锌)综合能耗,666.5,631.53,615.96,622.8,582.78,750.39,832.29,766.13
电厂火力发电标准煤耗,305.17,306.14,304.58,299.93,295.52,292.92,292.64,292.32
