年份,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
合计,15.97,17.52,18.89,19.96,20.61,20.52,20.09,20.65,,,,,,
煤炭,14.53,16.43,17.02,17.92,18.4,18.04,17.47,17.43,,,,,,
焦炭,1.48,1.62,1.68,1.83,1.9,1.62,1.5,1.38,,,,,,
原油,3.84,4.47,4.22,4.32,4.02,3.96,3.75,4,,,,,,
燃料油,0.04,0.03,0.02,0.01,0.02,0.01,0.01,0.01,,,,,,
汽油,0.24,0.27,0.31,0.34,0.35,0.47,0.55,0.57,,,,,,
煤油,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,,,,,,
柴油,0.76,0.87,0.96,1.03,1.03,0.82,0.84,0.82,,,,,,
天然气,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.08,,,,,,
电力,2.2,2.53,2.72,2.94,3,3.01,2.92,3.19,,,,,,
