行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,7521.45,6715.871993,692.973302,1467.8503,128.98,5.62336,374.8,7.05,7.073959,25.07,1095.482501
农、林、牧、渔业           ,240.6108627,49.6,,,4.8,,32.2,,,,49.53
工业                       ,5516.83,6234.771993,692.973302,1467.8503,8.75,0.15336,26.03,7.05,0.303959,15.27,854.382501
采掘业                   ,370.64,455.776175,13,19.9,1.72,,10.13,,,0.43,29.910586
煤炭开采和洗选业,253.7,438.94,2,,0.55,,2.95,,,,14.752127
石油和天然气开采业,53.67,5.45,,19.9,0.63,,1.98,,,0.43,3.828569
黑色金属矿采选业,29.85,5.28543,11,,0.22,,1.7,,,,3.914113
有色金属矿采选业,22.7,2.351095,,,0.18,,0.9,,,,6.244348
非金属矿采选业  ,9.41,3.36915,,,0.06,,2.3,,,,1.022079
开采辅助活动,1.3,0.3805,,,0.08,,0.3,,,,0.14935
其他采矿业  ,,,,,,,,,,,
制造业                   ,4724.811614,2390.529618,679.962662,1447.9503,6.09,0.134902,15.03,6.76,0.303815,14.17,719.514842
农副食品加工业,40.74917227,29.701,,,0.9,,0.33,,,0.04,4.997723
食品制造业,28.19475308,140.59,,,0.3,,0.05,,,0.02,3.286621
饮料制造业,35.79708633,26.3868,,,0.16,,0.16,,,0.25,3.938536
烟草制品业,2.728653893,0.595927,,,0.1,,0.02,,,0.06,0.406693
纺织业,4.208501631,1.24885,,,0.01,,0.01,,,0.01,0.700173
纺织服装、鞋、帽制造业,0.78840131,0.539298,,,0.01,,,,,,0.115997
皮革、毛皮、羽毛(绒)及其制品业,1.222779954,0.39,,,0.01,,0.01,,,0.03,0.168357
木材加工及木、竹、藤、棕、草制品业,0.125073008,0.01,,,0.01,,,,,,0.031203
家具制造业,0.205902794,,,,0.01,,0.01,,,0.01,0.013451
造纸及纸制品业,15.05626354,15,,,0.01,,0.01,,,0.02,1.098616
印刷业和记录媒介的复制,1.393525788,1,,,0.02,,0.01,,,0.01,0.152009
文教体育用品制造业,0.735912545,0.75,,,0.01,,0.01,,,,0.045013
石油加工、炼焦及核燃料加工业,626.2957519,237.790652,,1447.95,0.95,,1.7,4.08,0.0201,3.87,25.936013
化学原料及化学制品制造业,570.108555,157.877941,105,,0.62,0.08263,0.75,,0.27583,5.88,81.193534
医药制造业,18.31213921,13.20576,,,0.14,,0.08,,,0.16,1.936493
化学纤维制造业,0.924894174,0.62,,,0.01,,0.01,,,,0.08394
橡胶和塑料制品业,8.116192046,0.585182,0.0411,,0.13,,0.08,,,,2.34853
非金属矿物制品业,750.4497607,646.402228,6.1719,,0.5,,4.9,,,1.5,69.594583
黑色金属冶炼及压延加工业,1627.54,646.6992,530.31,,0.93,0.013171,1.89,,,0.5,279.411323
有色金属冶炼及压延加工业,905.13,454.092776,28.56,,0.65,0.012595,4.34,2.65,,1.3,231.546817
金属制品业,16.53317306,1.242891,1.98838,,0.26,,0.21,0.01,,0.03,4.033101
通用设备制造业,10.80458614,4.5137,0.087124,,0.08,0.013044,0.07,0.01,,0.12,1.742071
专用设备制造业,9.52566586,2.1,0.05611,,0.09,,0.04,0.01,,0.19,1.220398
汽车制造业,1.416033011,0.972883,,,0.01,,0.01,,,0.01,0.116581
交通运输设备制造业,0.011153873,,,,,,,,,,0.003625
电气机械及器材制造业,8.366732288,2.6,0.009648,,0.05,,0.03,,,0.1,1.634735
通信设备、计算机及其他电子设备制造业,4.372086922,0.23,,,0.03,,0.01,,,0.01,1.304935
仪器仪表及文化、办公用机械制造业,0.533844699,0.33,,,0.01,,0.01,,,,0.060874
工艺品及其他制造业,9.820822463,,,,0.01,,,,,,0.0308
废弃资源和废旧材料回收加工业,23.81880068,4.8255,7.7384,,0.05,,0.15,,,,2.258
金属制品、机械和设备修理业,1.517189637,0.22903,,,0.02,,0.13,,,0.05,0.104097
电力煤气及水生产供应业,421.4020557,3388.4662,0.01064,,0.94,0.01739,0.87,0.29,,0.67,104.957073
电力、热力的生产和供应业,410.9456991,3388.3021,0.01064,,0.79,0.0173,0.83,0.29,,0.63,102.03
燃气生产和供应业,4.597091193,,,,0.1,,0.02,,,0.03,1.204017
水的生产和供应业,5.859265357,0.1641,,,0.05,,0.02,,,0.01,1.723056
建筑业                     ,116.7301648,17,,,10.1,,14.6,,,,18.26
交通运输、仓储及邮电通信业,621.6345763,29,,,33.83,5.47,264.57,,0.01,2.1,40.01
批发和零售贸易餐饮业       ,120.9902997,19,,,6.8,,5.2,,0.36,1.7,21.02
其他行业                   ,242.2311781,21,,,25.4,,25.3,,,2.4,39.21
生活消费                   ,662.4264586,345.5,,,39.3,,6.9,,6.4,3.6,73.07
