年份,能源生产比上年增长,电力生产比上年增长,能源生产弹性系数,电力生产弹性系数
2000,-13.06,6.83,,0.7
2001,5.39,8.26,0.55,0.85
2002,37.66,12.53,3.82,1.27
2003,16.84,18.71,1.49,1.65
2004,17.71,13.18,1.62,1.21
2005,7.29,10.7,0.62,0.9
2006,5.37,5.08,0.45,0.42
2007,4.92,16.33,0.4,1.33
2008,2.1,11.58,0.21,1.14
2009,4.01,1.86,0.39,0.18
2010,9.43,24.35,0.8,2.07
2011,5.46,17.54,0.41,1.33
2012,9.79,7.7,0.83,0.65
2013,3.27,8.57,0.29,0.76
2014,7.01,3.26,0.78,0.36
2015,-1.85,0.09,,0.01
2016,-2.57,-2.24,,
2017,1.44,11.1,0.41,3.15
2018,6.23,19.18,1.01,3.12
2019,4.7,3.81,0.76,0.62
2020,5.24,7.73,1.35,1.99
2021,4.49,7.59,0.646974063,1.093659942
2022,10.63,2.92,2.34,0.64
2023,12.16,7.41,1.91,1.16
